Highest Offense Description,Latitude,Longitude,year
BURGLARY OF VEHICLE,30.29246578,-97.72275227,2022
DWI,30.35452281,-97.70407408,2022
ASSAULT WITH INJURY,30.24901335,-97.73602843,2022
DOC FIGHTING,30.39226803,-97.70671552,2022
THEFT,30.23401114,-97.82283489,2022
THEFT OF BICYCLE,30.31661022,-97.71475069,2022
ONLINE SOLICITATION OF A MINOR,30.19896248,-97.81671667,2022
POSS CONTROLLED SUB/NARCOTIC,30.13694603,-97.79330239,2022
ASSAULT BY CONTACT FAM/DATING,30.33830656,-97.71603574,2022
DWI 2ND,30.26342841,-97.74448039,2022
DWI,30.25486467,-97.72418392,2022
DWI,30.36652906,-97.69300392,2022
FAMILY DISTURBANCE,30.183975,-97.77103929,2022
ARSON,30.32545194,-97.73798132,2022
DATING DISTURBANCE,30.30179097,-97.64892252,2022
POSS CONTROLLED SUB/NARCOTIC,30.26735144,-97.73909331,2022
BURGLARY OF VEHICLE,30.39443036,-97.72737746,2022
BURGLARY OF VEHICLE,30.17516686,-97.89183099,2022
AUTO THEFT,30.23150211,-97.83743153,2022
DWI 2ND,30.19978248,-97.74894374,2022
CRIMINAL MISCHIEF-NO SUSPECT,30.27288995,-97.76143573,2022
ASSAULT BY CONTACT,30.30698583,-97.73552369,2022
ASSAULT W/INJURY-FAM/DATE VIOL,30.38043547,-97.65429273,2022
DWI 2ND,30.37402285,-97.69121908,2022
BURGLARY OF VEH-NO SUSPECT/FU,30.31774593,-97.74330839,2022
THEFT BY SHOPLIFTING,30.35547286,-97.73354229,2022
ASSAULT BY THREAT,30.37194381,-97.71780314,2022
DWI 2ND,30.32657765,-97.69918266,2022
FAMILY DISTURBANCE,30.19863047,-97.83952822,2022
CRIMINAL MISCHIEF,30.2032598,-97.78466566,2022
POSS CONTROLLED SUB/NARCOTIC,30.26735144,-97.73909331,2022
VIOL OF PROTECTIVE ORDER,30.1996283,-97.73520938,2022
THEFT,30.24940503,-97.77366208,2022
THEFT,30.35547286,-97.73354229,2022
ASSAULT WITH INJURY,30.17964326,-97.75924829,2022
AUTO THEFT,30.36256043,-97.71568839,2022
THEFT-NO SUSPECT/FOLLOWUP,30.23653697,-97.71329824,2022
FAMILY DISTURBANCE,30.22852657,-97.69420798,2022
FRAUD - OTHER,30.45573237,-97.81301991,2022
TERRORISTIC THREAT,30.37111089,-97.67474763,2022
AUTO THEFT,30.27051982,-97.68984066,2022
THEFT,30.35562397,-97.75574434,2022
ASSAULT WITH INJURY,30.26744445,-97.73553891,2022
BURGLARY OF VEH-NO SUSPECT/FU,30.32104847,-97.77354003,2022
THEFT BY SHOPLIFTING,30.33620917,-97.75737916,2022
CRIMINAL MISCHIEF,30.18284411,-97.75443977,2022
THEFT,30.33274275,-97.73728423,2022
ASSAULT BY THREAT,30.31554109,-97.70229583,2022
THEFT FROM PERSON,30.26762254,-97.73889908,2022
INDECENT ASSAULT,30.31251546,-97.70483191,2022
AUTO THEFT,30.35460161,-97.68584592,2022
FAMILY DISTURBANCE,30.3427907,-97.73624328,2022
THEFT,30.30465553,-97.68415413,2022
POSS CONTROLLED SUB/SYN NARC,30.23111832,-97.73325052,2022
