Highest Offense Description,Latitude,Longitude,year
ASSAULT WITH INJURY,30.28723584,-97.70250327,2021
DATING DISTURBANCE,30.3659527,-97.72275813,2021
DISTURBANCE - OTHER,30.3750749,-97.66961059,2021
DEADLY CONDUCT,30.26340897,-97.71187196,2021
BURGLARY OF VEHICLE,30.26829473,-97.7400407,2021
FORGERY AND PASSING,30.49810979,-97.77727928,2021
AUTO THEFT,30.42417759,-97.66880898,2021
CRIMINAL TRESPASS,30.29067402,-97.72674331,2021
BURGLARY OF VEH-NO SUSPECT/FU,30.45363333,-97.80250663,2021
ASSAULT WITH INJURY,30.23653697,-97.71329824,2021
RESISTING ARREST OR SEARCH,30.26469252,-97.73790373,2021
ONLINE IMPERSONATION,30.30142267,-97.64132869,2021
THEFT BY SHOPLIFTING,30.47027103,-97.8015806,2021
BURGLARY OF VEH-NO SUSPECT/FU,30.25471771,-97.69231356,2021
FAMILY DISTURBANCE,30.23915192,-97.77036401,2021
CRIMINAL MISCHIEF-NO SUSPECT,30.24418174,-97.81009928,2021
ASSAULT BY CONTACT,30.26355964,-97.73086552,2021
BURGLARY OF RESIDENCE,30.22987174,-97.73823453,2021
ASSAULT WITH INJURY,30.29855839,-97.6416685,2021
CRIMINAL MISCHIEF,30.16291061,-97.79312325,2021
THEFT BY SHOPLIFTING,30.30046387,-97.71965158,2021
DOC FIGHTING,30.37472968,-97.6768366,2021
MAIL THEFT,30.31594103,-97.71686429,2021
ASSAULT BY THREAT,30.28200771,-97.70841969,2021
BURGLARY OF VEHICLE,30.2942081,-97.74206376,2021
POSS CONTROLLED SUB/NARCOTIC,30.19872886,-97.75384161,2021
ASSAULT BY CONTACT,30.29106876,-97.72667877,2021
DWI  .15 BAC OR ABOVE,30.20331404,-97.80627466,2021
THEFT FROM BUILDING,30.26542135,-97.73613832,2021
BURGLARY OF VEHICLE,30.21694518,-97.6927573,2021
POSS CONTROLLED SUB/NARCOTIC,30.33256876,-97.70350875,2021
CRIMINAL MISCHIEF,30.39679084,-97.72673305,2021
DWI  .15 BAC OR ABOVE,30.31321444,-97.70726647,2021
CRIMINAL MISCHIEF,30.25820876,-97.75063675,2021
BURGLARY OF VEH-NO SUSPECT/FU,30.19566087,-97.79269909,2021
AGG ASSAULT,30.41474213,-97.66449693,2021
THEFT,30.3967807,-97.72731711,2021
CRIMINAL TRESPASS,30.20986553,-97.65145489,2021
BURGLARY OF RESIDENCE,30.23784415,-97.69537876,2021
FAMILY DISTURBANCE,30.26342585,-97.73145528,2021
BURGLARY OF VEHICLE,30.40168382,-97.72673719,2021
ASSAULT WITH INJURY,30.2675603,-97.73922077,2021
MAIL THEFT,30.39703797,-97.75023971,2021
THEFT,30.38864809,-97.69169076,2021
BURGLARY OF RESIDENCE,30.3447253,-97.70042168,2021
AUTO THEFT,30.46215547,-97.8160204,2021
BURGLARY OF VEHICLE,30.35119727,-97.79608335,2021
THEFT FROM AUTO,30.23178511,-97.73358097,2021
DOC DISCHARGE GUN - PUB PLACE,30.32265262,-97.71218676,2021
FAMILY DISTURBANCE,30.19394123,-97.76344868,2021
BURGLARY OF VEHICLE,30.23178857,-97.71888757,2021
THEFT-NO SUSPECT/FOLLOWUP,30.20193781,-97.72138309,2021
BURGLARY OF VEH-NO SUSPECT/FU,30.22350129,-97.72533837,2021
VIOL CITY ORDINANCE -FIREWORK,30.29704191,-97.741975,2021
FAMILY DISTURBANCE,30.3433658,-97.69997996,2021
BURGLARY OF VEH-NO SUSPECT/FU,30.26776379,-97.76790612,2021
HARASSMENT,30.39287988,-97.64857876,2021
ASSAULT WITH INJURY,30.25680559,-97.73917706,2021
ASSAULT WITH INJURY,30.38979111,-97.65120601,2021
